Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Simu.API\Simu.API.csproj,File,Simu.API\Simu.API.csproj,,,Microsoft.AspNetCore.OpenApi 8.0.0,,,,,"Microsoft.AspNetCore.OpenApi, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Simu.API\Simu.API.csproj,File,Simu.API\Simu.API.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Simu.Blazor.Web\Simu.Blazor.Web.csproj,File,Simu.Blazor.Web\Simu.Blazor.Web.csproj,,,Microsoft.AspNetCore.Components.WebAssembly 8.0.0,,,,,"Microsoft.AspNetCore.Components.WebAssembly, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly, and replace with new package Microsoft.AspNetCore.Components.WebAssembly 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Simu.Blazor.Web\Simu.Blazor.Web.csproj,File,Simu.Blazor.Web\Simu.Blazor.Web.csproj,,,Microsoft.AspNetCore.Components.WebAssembly.DevServer 8.0.0,,,,,"Microsoft.AspNetCore.Components.WebAssembly.DevServer, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Components.WebAssembly.DevServer, and replace with new package Microsoft.AspNetCore.Components.WebAssembly.DevServer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Simu.Blazor.Web\Simu.Blazor.Web.csproj,File,Simu.Blazor.Web\Simu.Blazor.Web.csproj,,,System.Net.Http.Json 8.0.0,,,,,"System.Net.Http.Json, 8.0.0  Recommendation:  Remove System.Net.Http.Json, and replace with new package System.Net.Http.Json 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Simu.Blazor.Web\Simu.Blazor.Web.csproj,File,Simu.Blazor.Web\Simu.Blazor.Web.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Simu.Blazor.Web\Simu.Blazor.Web.csproj,File,Simu.Blazor.Web\Program.cs,7,0,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Simu.Blazor.Web\Simu.Blazor.Web.csproj,File,Simu.Blazor.Web\Program.cs,7,0,M:System.Uri.#ctor(System.String),,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Simu.Blazor.Web\Simu.Blazor.Web.csproj,File,Simu.Blazor.Web\Program.cs,7,0,T:System.Uri,,,,,builder.Services.AddScoped(sp => new HttpClient { BaseAddress = new Uri(builder.HostEnvironment.BaseAddress) });
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Simu.Business\Simu.Business.csproj,File,Simu.Business\Simu.Business.csproj,,,Microsoft.EntityFrameworkCore 8.0.0,,,,,"Microsoft.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Simu.Business\Simu.Business.csproj,File,Simu.Business\Simu.Business.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Simu.Core\Simu.Core.csproj,File,Simu.Core\Simu.Core.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Simu.Data\Simu.Data.csproj,File,Simu.Data\Simu.Data.csproj,,,Microsoft.EntityFrameworkCore 8.0.0,,,,,"Microsoft.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Simu.Data\Simu.Data.csproj,File,Simu.Data\Simu.Data.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.0,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Simu.Data\Simu.Data.csproj,File,Simu.Data\Simu.Data.csproj,,,Microsoft.EntityFrameworkCore.Tools 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Tools, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Simu.Data\Simu.Data.csproj,File,Simu.Data\Simu.Data.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
